parameter_cd,parameter_nm,keep
67470,"Lorazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67471,"Temazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67472,"Verapamil, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67475,"Triamterene, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67476,"Sulfamethizole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67477,"Antipyrine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67478,"Fluconazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67479,"Nizatidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67480,"Pentoxifylline, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67481,"Iminostilbene, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67483,"Prednisolone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67484,"Acyclovir, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67485,"Betamethasone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67487,"Ezetimibe, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67488,"Loratadine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67489,"Fenofibrate, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67492,"Metformin, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67493,"Nicotine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67494,"Theophylline, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67495,"Oxycodone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67496,"Phendimetrazine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67497,"Chlorpheniramine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67498,"Carisoprodol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67499,"Diazepam, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67500,"Methadone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67501,"Methocarbamol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67502,"Atenolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67503,"Sulfadimethoxine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67504,"Metaxalone, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67505,"Citalopram, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67506,"Hydrocodone, water,filtered (0.2 micron filter0, recoverable, nanograms per liter",Y
67507,"Valacyclovir, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67508,"Tiotropium, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67510,"Fexofenadine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67511,"Oseltamivir, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67512,"Omeprazole + Esomeprazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67514,"Methyl-1H-benzotriazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67515,"Loperamide, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67516,"Propranolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67517,"Tramadol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67518,"Clonidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67519,"Diltiazem, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67521,"Fluvoxamine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67522,"Amitriptyline, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67523,"Metoprolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67524,"Promethazine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67525,"Methotrexate, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67527,"Paroxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67528,"Sertraline, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67529,"Fluticasone propionate, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67530,"Raloxifene, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67531,"Sitagliptin, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67532,"Norsertraline, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67534,"Venlafaxine, water, filtered (0.2 micron filter), recoverable, nanograms per liter",Y
67595,"Disulfoton, water, filtered, recoverable, nanograms per liter",Y
67670,"Kresoxim-methyl, water, filtered, recoverable, nanograms per liter",Y
67685,"Norflurazon, water, filtered, recoverable, nanograms per liter",Y
67702,"Prometon, water, filtered, recoverable, nanograms per liter",Y
67706,"Propyzamide, water, filtered, recoverable, nanograms per liter",Y
67995,"10-Hydroxy-amitriptyline, water, filtered, recoverable, nanograms per liter",Y
67997,"Benztropine, water, filtered, recoverable, nanograms per liter",Y
67999,"Desmethyldiltiazem, water, filtered, recoverable, nanograms per liter",Y
68000,"Famotidine, water, filtered, recoverable, nanograms per liter",Y
68001,"Glipizide, water, filtered, recoverable, nanograms per liter",Y
68002,"Glyburide, water, filtered, recoverable, nanograms per liter",Y
68005,"Hydroxyzine, water, filtered, recoverable, nanograms per liter",Y
68006,"Nadolol, water, filtered, recoverable, nanograms per liter",Y
68007,"Norverapamil, water, filtered, recoverable, nanograms per liter",Y
68008,"Phenazopyridine, water, filtered, recoverable, nanograms per liter",Y
68009,"Propoxyphene, water, filtered, recoverable, nanograms per liter",Y
68011,"Quinine, water, filtered, recoverable, nanograms per liter",Y
68012,"Fadrozole, water, filtered, recoverable, nanograms per liter",Y
68014,"Ketoconazole, water, filtered, recoverable, nanograms per liter",Y
68015,"Tamoxifen, water, filtered, recoverable, nanograms per liter",Y
68017,"Nevirapine, water, filtered, recoverable, nanograms per liter",Y
68018,"Lamivudine, water, filtered, recoverable, nanograms per liter",Y
68021,"Penciclovir, water, filtered, recoverable, nanograms per liter",Y
68022,"Abacavir, water, filtered, recoverable, nanograms per liter",Y
68211,"Azinphos-methyl oxygen analog, water, filtered, recoverable, nanograms per liter",Y
68216,"Chlorpyrifos oxon, water, filtered, recoverable, nanograms per liter",Y
68226,"3,4-Dichlorophenylurea, water, filtered, recoverable, nanograms per liter",Y
68231,"N-(3,4-Dichlorophenyl)-N'-methylurea, water, filtered, recoverable, nanograms per liter",Y
68236,"Diazoxon, water, filtered, recoverable, nanograms per liter",Y
68240,"Malaoxon, water, filtered, recoverable, nanograms per liter",Y
68250,"Alprazolam, water, filtered, recoverable, nanograms per liter",Y
68251,"Desvenlafaxine, water, filtered, recoverable, nanograms per liter",Y
68252,"Nordiazepam, water, filtered, recoverable, nanograms per liter",Y
68336,"4-Hydroxychlorothalonil, water, filtered, recoverable, nanograms per liter",Y
68426,"Imidacloprid, water, filtered, recoverable, nanograms per liter",Y
68437,"Metalaxyl, water, filtered, recoverable, nanograms per liter",Y
68498,"1H-1,2,4-Triazole, water, filtered, recoverable, nanograms per liter",Y
68500,"2,4-D, water, filtered, recoverable, nanograms per liter",Y
68502,"2-Aminobenzimidazole, water, filtered, recoverable, nanograms per liter",Y
68503,"2-Amino-N-isopropylbenzamide, water, filtered, recoverable, nanograms per liter",Y
68505,"2-Isopropyl-6-methyl-4-pyrimidinol, water, filtered, recoverable, nanograms per liter",Y
68508,"3-Hydroxy carbofuran, water, filtered, recoverable, nanograms per liter",Y
68511,"4-(Hydroxymethyl) pendimethalin, water, filtered, recoverable, nanograms per liter",Y
68514,"4-Chlorobenzylmethyl sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68515,"4-Hydroxy molinate, water, filtered, recoverable, nanograms per liter",Y
68517,"4-Hydroxyhexazinone A, water, filtered, recoverable, nanograms per liter",Y
68519,"Acephate, water, filtered, recoverable, nanograms per liter",Y
68520,"Acetochlor, water, filtered, recoverable, nanograms per liter",Y
68521,"2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide, water, filtered, recoverable, nanograms per liter",Y
68522,"Acetochlor oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68523,"Acetochlor sulfonic acid, water, filtered, recoverable, nanograms per liter",Y
68524,"Acetochlor sulfinylacetic acid, water, filtered, recoverable, nanograms per liter",Y
68525,"2-Chloro-2',6'-diethylacetanilide, water, filtered, recoverable, nanograms per liter",Y
68526,"Alachlor oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68527,"Alachlor sulfinylacetic acid, water, filtered, recoverable, nanograms per liter",Y
68528,"Aldicarb, water, filtered, recoverable, nanograms per liter",Y
68529,"Aldicarb sulfone, water, filtered, recoverable, nanograms per liter",Y
68530,"Aldicarb sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68533,"Ametryn, water, filtered, recoverable, nanograms per liter",Y
68536,"Asulam, water, filtered, recoverable, nanograms per liter",Y
68538,"Bentazon, water, filtered, recoverable, nanograms per liter",Y
68542,"Bromacil, water, filtered, recoverable, nanograms per liter",Y
68543,"Bromoxynil, water, filtered, recoverable, nanograms per liter",Y
68545,"Butralin, water, filtered, recoverable, nanograms per liter",Y
68547,"Chlorodiamino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68548,"Carbendazim, water, filtered, recoverable, nanograms per liter",Y
68549,"Carboxy molinate, water, filtered, recoverable, nanograms per liter",Y
68550,"2-Chloro-6-ethylamino-4-amino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68551,"Chlorosulfonamide acid, water, filtered, recoverable, nanograms per liter",Y
68552,"2-Chloro-4-isopropylamino-6-amino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68553,"cis-Cyhalothric acid, water, filtered, recoverable, nanograms per liter",Y
68560,"DCPA monoacid, water, filtered, recoverable, nanograms per liter",Y
68561,"Dechlorofipronil, water, filtered, recoverable, nanograms per liter",Y
68562,"Dechlorometolachlor, water, filtered, recoverable, nanograms per liter",Y
68563,"Deiodo flubendiamide, water, filtered, recoverable, nanograms per liter",Y
68564,"Deisopropyl prometryn, water, filtered, recoverable, nanograms per liter",Y
68566,"Demethyl hexazinone B, water, filtered, recoverable, nanograms per liter",Y
68567,"Demethyl norflurazon, water, filtered, recoverable, nanograms per liter",Y
68568,"Desamino metribuzin, water, filtered, recoverable, nanograms per liter",Y
68569,"Desamino-diketo metribuzin, water, filtered, recoverable, nanograms per liter",Y
68570,"Desulfinylfipronil amide, water, filtered, recoverable, nanograms per liter",Y
68571,"Dicamba, water, filtered, recoverable, nanograms per liter",Y
68572,"Dichlorvos, water, filtered, recoverable, nanograms per liter",Y
68573,"Dicrotophos, water, filtered, recoverable, nanograms per liter",Y
68574,"Didemethyl hexazinone F, water, filtered, recoverable, nanograms per liter",Y
68575,"Tebuthiuron Transformation Product 104, water, filtered, recoverable, nanograms per liter",Y
68576,"Diflubenzuron, water, filtered, recoverable, nanograms per liter",Y
68577,"Diflufenzopyr, water, filtered, recoverable, nanograms per liter",Y
68578,"Diketonitrile-isoxaflutole, water, filtered, recoverable, nanograms per liter",Y
68580,"Dimethenamid, water, filtered, recoverable, nanograms per liter",Y
68581,"Dimethenamid oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68582,"Dimethenamid sulfonic acid, water, filtered, recoverable, nanograms per liter",Y
68583,"Dimethenamid sulfinylacetic acid, water, filtered, recoverable, nanograms per liter",Y
68586,"Disulfoton oxon, water, filtered, recoverable, nanograms per liter",Y
68587,"Disulfoton oxon sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68588,"Disulfoton oxon sulfone, water, filtered, recoverable, nanograms per liter",Y
68589,"Disulfoton sulfone, water, filtered, recoverable, nanograms per liter",Y
68590,"Disulfoton sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68591,"Demethyl fluometuron, water, filtered, recoverable, nanograms per liter",Y
68594,"EPTC degradate R248722, water, filtered, recoverable, nanograms per liter",Y
68595,"2-[(2-Ethyl-6-methylphenyl)amino]-1-propanol, water, filtered, recoverable, nanograms per liter",Y
68596,"Ethoprop, water, filtered, recoverable, nanograms per liter",Y
68597,"O-Ethyl O-methyl S-propyl phosphorothioate, water, filtered, recoverable, nanograms per liter",Y
68598,"Etoxazole, water, filtered, recoverable, nanograms per liter",Y
68599,"Fenamiphos, water, filtered, recoverable, nanograms per liter",Y
68600,"Fenamiphos sulfone, water, filtered, recoverable, nanograms per liter",Y
68601,"Fenamiphos sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68602,"Fenbutatin oxide, water, filtered, recoverable, nanograms per liter",Y
68603,"Fentin, water, filtered, recoverable, nanograms per liter",Y
68604,"Fipronil amide, water, filtered, recoverable, nanograms per liter",Y
68605,"Fipronil sulfonate, water, filtered, recoverable, nanograms per liter",Y
68606,"Flubendiamide, water, filtered, recoverable, nanograms per liter",Y
68608,"Fluometuron, water, filtered, recoverable, nanograms per liter",Y
68611,"2-(1-Hydroxyethyl)-6-methylaniline, water, filtered, recoverable, nanograms per liter",Y
68612,"Hexazinone Transformation Product C, water, filtered, recoverable, nanograms per liter",Y
68613,"Hexazinone Transformation Product D, water, filtered, recoverable, nanograms per liter",Y
68614,"Hexazinone Transformation Product E, water, filtered, recoverable, nanograms per liter",Y
68615,"Hydroxyacetochlor, water, filtered, recoverable, nanograms per liter",Y
68616,"Hydroxyalachlor, water, filtered, recoverable, nanograms per liter",Y
68617,"Hydroxy monodemethyl fluometuron, water, filtered, recoverable, nanograms per liter",Y
68618,"Hydroxydiazinon, water, filtered, recoverable, nanograms per liter",Y
68619,"Hydroxy didemethyl fluometuron, water, filtered, recoverable, nanograms per liter",Y
68620,"Hydroxyfluometuron, water, filtered, recoverable, nanograms per liter",Y
68621,"Tebuthiuron Transformation Product 109, water, filtered, recoverable, nanograms per liter",Y
68622,"Hydroxymetolachlor, water, filtered, recoverable, nanograms per liter",Y
68623,"Hydroxyphthalazinone, water, filtered, recoverable, nanograms per liter",Y
68624,"Hydroxysimazine, water, filtered, recoverable, nanograms per liter",Y
68625,"Imazamox, water, filtered, recoverable, nanograms per liter",Y
68627,"Indoxacarb, water, filtered, recoverable, nanograms per liter",Y
68632,"Isoxaflutole, water, filtered, recoverable, nanograms per liter",Y
68633,"Isoxaflutole acid metabolite RPA 203328, water, filtered, recoverable, nanograms per liter",Y
68638,"Lactofen, water, filtered, recoverable, nanograms per liter",Y
68639,"Linuron, water, filtered, recoverable, nanograms per liter",Y
68641,"MCPA, water, filtered, recoverable, nanograms per liter",Y
68644,"Methamidophos, water, filtered, recoverable, nanograms per liter",Y
68645,"Methomyl, water, filtered, recoverable, nanograms per liter",Y
68646,"Methomyl oxime, water, filtered, recoverable, nanograms per liter",Y
68647,"Methoxyfenozide, water, filtered, recoverable, nanograms per liter",Y
68648,"Methyl paraoxon, water, filtered, recoverable, nanograms per liter",Y
68649,"Metolachlor hydroxy morpholinone, water, filtered, recoverable, nanograms per liter",Y
68650,"Metolachlor oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68651,"Metolachlor sulfonic acid, water, filtered, recoverable, nanograms per liter",Y
68652,"Metribuzin, water, filtered, recoverable, nanograms per liter",Y
68653,"Metribuzin DK, water, filtered, recoverable, nanograms per liter",Y
68654,"Naled, water, filtered, recoverable, nanograms per liter",Y
68656,"2-Hydroxy-6-ethylamino-4-amino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68657,"O-Ethyl S-methyl S-propyl phosphorodithioate, water, filtered, recoverable, nanograms per liter",Y
68658,"O-Ethyl S-propyl phosphorothioate, water, filtered, recoverable, nanograms per liter",Y
68659,"2-Hydroxy-4-isopropylamino-6-amino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68660,"2-Hydroxy-4-isopropylamino-6-ethylamino-s-triazine, water, filtered, recoverable, nanograms per liter",Y
68661,"Omethoate, water, filtered, recoverable, nanograms per liter",Y
68662,"Orthosulfamuron, water, filtered, recoverable, nanograms per liter",Y
68663,"Oryzalin, water, filtered, recoverable, nanograms per liter",Y
68664,"Oxamyl, water, filtered, recoverable, nanograms per liter",Y
68665,"Oxamyl oxime, water, filtered, recoverable, nanograms per liter",Y
68666,"Paraoxon, water, filtered, recoverable, nanograms per liter",Y
68668,"Phorate, water, filtered, recoverable, nanograms per liter",Y
68669,"Phorate oxygen analog, water, filtered, recoverable, nanograms per liter",Y
68670,"Phorate oxygen analog sulfone, water, filtered, recoverable, nanograms per liter",Y
68671,"Phorate oxon sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68672,"Phorate sulfone, water, filtered, recoverable, nanograms per liter",Y
68673,"Phorate sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68675,"Phthalazinone, water, filtered, recoverable, nanograms per liter",Y
68676,"Profenofos, water, filtered, recoverable, nanograms per liter",Y
68677,"Propargite, water, filtered, recoverable, nanograms per liter",Y
68678,"Propazine, water, filtered, recoverable, nanograms per liter",Y
68679,"Propoxur, water, filtered, recoverable, nanograms per liter",Y
68682,"Pyridaben, water, filtered, recoverable, nanograms per liter",Y
68683,"Pyriproxyfen, water, filtered, recoverable, nanograms per liter",Y
68684,"sec-Acetochlor oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68685,"sec-Alachlor oxanilic acid, water, filtered, recoverable, nanograms per liter",Y
68686,"Siduron, water, filtered, recoverable, nanograms per liter",Y
68687,"Sulfentrazone, water, filtered, recoverable, nanograms per liter",Y
68688,"Sulfometuron-methyl, water, filtered, recoverable, nanograms per liter",Y
68689,"Sulfosulfuron, water, filtered, recoverable, nanograms per liter",Y
68690,"Sulfosulfuron ethyl sulfone, water, filtered, recoverable, nanograms per liter",Y
68691,"2,3,3-Trichloro-2-propene-1-sulfonic acid (sodium salt), water, filtered, recoverable, nanograms per liter",Y
68692,"Tebufenozide, water, filtered, recoverable, nanograms per liter",Y
68693,"Tebupirimfos, water, filtered, recoverable, nanograms per liter",Y
68694,"Tebupirimfos oxon, water, filtered, recoverable, nanograms per liter",Y
68695,"Tebuthiuron, water, filtered, recoverable, nanograms per liter",Y
68696,"Tebuthiuron Transformation Product 108, water, filtered, recoverable, nanograms per liter",Y
68697,"Tebuthiuron Transformation Product 109 (OH), water, filtered, recoverable, nanograms per liter",Y
68698,"Terbacil, water, filtered, recoverable, nanograms per liter",Y
68699,"Terbufos, water, filtered, recoverable, nanograms per liter",Y
68700,"Terbufos oxon, water, filtered, recoverable, nanograms per liter",Y
68701,"Terbufos oxygen analog sulfone, water, filtered, recoverable, nanograms per liter",Y
68702,"Terbufos oxon sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68703,"Terbufos sulfone, water, filtered, recoverable, nanograms per liter",Y
68704,"Terbufos sulfoxide, water, filtered, recoverable, nanograms per liter",Y
68708,"trans-Permethrin, water, filtered, recoverable, nanograms per liter",Y
68710,"Triallate, water, filtered, recoverable, nanograms per liter",Y
68711,"Tribufos, water, filtered, recoverable, nanograms per liter",Y
68712,"Triclopyr, water, filtered, recoverable, nanograms per liter",Y
68713,"Hexazinone Transformation Product G, water, filtered, recoverable, nanograms per liter",Y
68714,"Tebuthiuron Transformation Product 106, water, filtered, recoverable, nanograms per liter",Y
68769,"cis-Permethrin, water, filtered, recoverable, nanograms per liter",Y
68871,"Alachlor sulfonic acid, water, filtered, recoverable, nanograms per liter",Y
68872,"Chlorimuron-ethyl, water, filtered, recoverable, nanograms per liter",Y
68873,"3-Phenoxybenzoic acid, water, filtered, recoverable, nanograms per liter",Y
90395,"Metformin-d6, internal standard/surrogate, NWQL schedule 2440, water, filtered, percent recovery",Y
90509,"cis-Androsterone-2,2,3,4,4-d5, isotope dilution standard, water, unfiltered, percent recovery",Y
90511,"Progesterone-2,3,4-13C3, isotope dilution standard, water, unfiltered, percent recovery",Y
90516,"3-Phenoxybenzoic acid-13C6, surrogate, water, filtered, percent recovery",Y
90517,"Acetochlor-d11, surrogate, water, filtered, percent recovery",Y
90518,"Alachlor-d13, surrogate, water, filtered, percent recovery",Y
90519,"Carbaryl-d7, surrogate, water, filtered, percent recovery",Y
90520,"Carbendazim-d4, surrogate, water, filtered, percent recovery",Y
90521,"Carbofuran-d3 (N-methyl-d3), surrogate, water, filtered, percent recovery",Y
90522,"Deethylatrazine-d6, surrogate, water, filtered, percent recovery",Y
90523,"Diazinon-d10 (diethyl-d10), surrogate, water, filtered, percent recovery",Y
90524,"Diflubenzuron-d4 (4-chlorophenyl-d4), surrogate, water, filtered, percent recovery",Y
90527,"Hexazinone-d6 (N,N-dimethyl-d6), surrogate, water, filtered, percent recovery",Y
90529,"Linuron-d6 (dimethyl-d6), surrogate, water, filtered, percent recovery",Y
90552,"Malathion-d10 (diethyl-d10), surrogate, water, filtered, percent recovery",Y
90553,"Metolachlor-d6, surrogate, water, filtered, percent recovery",Y
90554,"Nicosulfuron-d6 (dimethoxy-d6), surrogate, water, filtered, percent recovery",Y
90555,"Tebuconazole-d6, surrogate, water, filtered, percent recovery",Y
90556,"Thiobencarb-d10 (diethyl-d10), surrogate, water, filtered, percent recovery",Y
90558,"cis-Permethrin-13C6, surrogate/internal standard, water, filtered, percent recovery",Y
90624,"Butachlor sulfonic acid, surrogate, NWQL schedule 2437, water, filtered, percent recovery",Y
90625,"Dimethachlor sulfonic acid, surrogate, NWQL schedule 2437, water, filtered, percent recovery",Y
90737,"Decafluorobiphenyl, surrogate, NWQL wastewater compound schedules (WCS), percent recovery",Y
90738,"Fluoranthene-d10, surrogate, NWQL wastewater compound schedules (WCS), percent recovery",Y
90781,"Cholesterol-25,26,26,26,27,27,27-d7, isotope dilution standard, water, unfiltered, percent recovery",Y
90808,"Diuron-d6, surrogate, water, filtered, percent recovery",Y
90827,"17-alpha-Ethynylestradiol-2,4,16,16-d4, isotope dilution standard, water, unfiltered, percent recovery",Y
90832,"trans-Diethyl-1,1,1',1'-d4-stilbestrol-3,3',5,5'-d4, isotope dilution standard, water, unfiltered, percent recovery",Y
90836,"Mestranol-2,4,16,16-d4, isotope dilution standard, water, unfiltered, percent recovery",Y
91100,"Sample weight, NWQL wastewater compound schedules (WCS), wet weight, grams",Y
91119,"Sample volume, water, unfiltered, NWQL hormone schedule, milliliters",Y
91156,"Moisture content, bed sediment, dry weight, percent",Y
91616,"Estriol-2,4,16,17-d4, isotope dilution standard, water, unfiltered, percent recovery",Y
91680,"16-Epiestriol-2,4-d2, isotope dilution standard/surrogate, water, unfiltered, percent recovery",Y
91682,"Medroxyprogesterone-d3, isotope dilution standard/surrogate, water, unfiltered, percent recovery",Y
91683,"Nandrolone-16,16,17-d3, isotope dilution standard, water, unfiltered, percent recovery",Y
91749,"Bisphenol A-d14, surrogate, solids, recoverable, percent recovery",Y
91755,"17-beta-Estradiol-13,14,15,16,17,18-13C6, isotope dilution standard, water, unfiltered, percent recovery",Y
91756,"Estrone-13,14,15,16,17,18-13C6, isotope dilution standard, water, unfiltered, percent recovery",Y
91769,"Thiabendazole-d4, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91772,"Albuterol-d9, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91773,"Diltiazem-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91774,"Trimethoprim-d9, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91775,"Acetaminophen-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91776,"Norfluoxetine-d6, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91777,"Methadone-d9, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91778,"Oxycodone-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91779,"Hydrocodone-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91780,"Temazepam-d5, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91781,"Caffeine-(trimethyl-13C3), surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91782,"Sulfamethoxazole-(phenyl-13C6), surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91783,"Cotinine-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91784,"Amphetamine-d6, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91786,"Codeine-d6, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91787,"Pseudoephedrine-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91788,"Diphenhydramine-d3, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91789,"Fluoxetine-d6, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91790,"Diazepam-d5, surrogate, water, filtered (0.2 micron filter), percent recovery",Y
91986,"2,4-D-d3, surrogate, water, filtered, percent recovery",Y
31501,"Total coliforms, M-Endo MF method, immediate, water, colony forming units per 100 milliliters",Y
31633,"Escherichia coli, m-TEC MF method, water, colony forming units per 100 milliliters",Y
49237,"Aluminum, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49238,"Barium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49239,"Boron, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49240,"Chromium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49241,"Copper, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49242,"Iron, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49243,"Manganese, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49244,"Strontium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49245,"Zinc, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49246,"Antimony, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49247,"Arsenic, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49248,"Beryllium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49249,"Cadmium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49250,"Cobalt, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49251,"Lead, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49252,"Molybdenum, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49253,"Nickel, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49254,"Selenium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49255,"Silver, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49257,"Uranium, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49258,"Mercury, biota, tissue, recoverable, dry weight, milligrams per kilogram",Y
49261,"alpha-HCH-d6, surrogate, biota, whole organism, percent recovery",Y
49273,"Water present, biota, tissue, recoverable, dry weight, percent",Y
49275,"alpha-HCH-d6, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery",Y
49276,"PCB congener 204, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery",Y
49277,"PCB congener 14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery",Y
49326,"p,p'-DDD, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49327,"o,p'-DDE, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49332,"alpha-Endosulfan, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49339,"beta-HCH, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
49355,"Toxaphene, biota, whole organism, recoverable, wet weight, micrograms per kilogram",Y
49382,"Di-n-octyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram",Y
